2026-06-16 13:52:46,951 | INFO     | src.fetcher | Processing 1/1: AAA
2026-06-16 13:54:10,224 | WARNING  | src.universe_builder | WSO — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:11,137 | WARNING  | src.universe_builder | AIT — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:12,005 | WARNING  | src.universe_builder | MSM — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:13,381 | WARNING  | src.universe_builder | SITE — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:14,844 | WARNING  | src.universe_builder | BLDR — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:15,922 | WARNING  | src.universe_builder | EXP — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:16,910 | WARNING  | src.universe_builder | VMC — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:18,031 | WARNING  | src.universe_builder | MLM — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:19,045 | WARNING  | src.universe_builder | NUE — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:20,209 | WARNING  | src.universe_builder | STLD — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:21,204 | WARNING  | src.universe_builder | X — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:22,250 | WARNING  | src.universe_builder | CLF — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:23,370 | WARNING  | src.universe_builder | RS — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:24,380 | WARNING  | src.universe_builder | ATI — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:25,664 | WARNING  | src.universe_builder | CRS — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:27,252 | WARNING  | src.universe_builder | KMT — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:28,295 | WARNING  | src.universe_builder | FLS — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:29,488 | WARNING  | src.universe_builder | CR — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:30,663 | WARNING  | src.universe_builder | DCI — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:31,935 | WARNING  | src.universe_builder | GTLS — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:33,033 | WARNING  | src.universe_builder | CFX — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:34,203 | WARNING  | src.universe_builder | HEES — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:35,265 | WARNING  | src.universe_builder | TKR — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:36,340 | WARNING  | src.universe_builder | ROLL — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:37,421 | WARNING  | src.universe_builder | B — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:38,366 | WARNING  | src.universe_builder | WCC — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:39,510 | WARNING  | src.universe_builder | AYI — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:40,501 | WARNING  | src.universe_builder | HUBB — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:41,546 | WARNING  | src.universe_builder | POWL — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:42,429 | WARNING  | src.universe_builder | THR — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:43,280 | WARNING  | src.universe_builder | MWA — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:44,280 | WARNING  | src.universe_builder | AWI — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:45,388 | WARNING  | src.universe_builder | JBT — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:46,413 | WARNING  | src.universe_builder | GGG — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:47,357 | WARNING  | src.universe_builder | SPXC — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:48,525 | WARNING  | src.universe_builder | CIR — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:49,707 | WARNING  | src.universe_builder | CSL — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:50,642 | WARNING  | src.universe_builder | EME — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:51,679 | WARNING  | src.universe_builder | MTZ — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:52,896 | WARNING  | src.universe_builder | BMI — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:53,726 | WARNING  | src.universe_builder | NDSN — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:55,174 | WARNING  | src.universe_builder | AAON — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:56,159 | WARNING  | src.universe_builder | LECO — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:56,952 | WARNING  | src.universe_builder | KAMN — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:58,138 | WARNING  | src.universe_builder | CW — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:58,933 | WARNING  | src.universe_builder | HXL — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:59,812 | WARNING  | src.universe_builder | TXT — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:55:00,855 | WARNING  | src.universe_builder | SPR — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:55:00,855 | INFO     | src.universe_builder | 0 candidates remain after market cap filter
2026-06-16 13:55:42,725 | INFO     | src.fetcher | Processing 1/2: MMM
2026-06-16 13:55:44,277 | WARNING  | src.fetcher | MMM — attempt 1 failed: Too Many Requests. Rate limited. Try after a while.. Retrying...
2026-06-16 13:55:46,372 | WARNING  | src.fetcher | MMM — attempt 2 failed: Too Many Requests. Rate limited. Try after a while.. Retrying...
2026-06-16 13:55:49,344 | ERROR    | src.fetcher | MMM — failed after 3 retries: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:55:49,345 | INFO     | src.fetcher | Processing 2/2: HON
2026-06-16 13:55:50,709 | WARNING  | src.fetcher | HON — attempt 1 failed: Too Many Requests. Rate limited. Try after a while.. Retrying...
2026-06-16 13:55:52,531 | WARNING  | src.fetcher | HON — attempt 2 failed: Too Many Requests. Rate limited. Try after a while.. Retrying...
2026-06-16 13:55:55,457 | ERROR    | src.fetcher | HON — failed after 3 retries: Too Many Requests. Rate limited. Try after a while.
